3
980 2
0 980
0.137167200132818 0.068583600066409
1 0 0 0 1 0 0 0 1 
T T T 
0.1403550834586971 0.2256604612575003 0.6645900269329805 0.1378760343095164
0.3435488620168618 0.2694498217484644 0.8361867378782931 0.137167200132818
0.2378953193748791 0.01433737279953127 0.8280404283244568 0.1369528526443571
0.09898161487302527 0.9673044645606038 0.4862478124131955 0.1343678422749179
0.8186918016927701 0.2467366471446735 0.3315863455708002 0.1328740843771297
0.3975520640000796 0.4534635115363232 0.2724308185567947 0.1319151145636895
0.9167103404156262 0.9494545195047362 0.3345825464512576 0.131611582755445
0.921337883624835 0.2018316689273538 0.8456503419036597 0.131062809959513
0.6597393230942489 0.9812033880333734 0.4028773389699492 0.1305700395767881
0.3948070627583653 0.5971281899896705 0.8942591977151488 0.1300992633313725
0.519252849834159 0.9502609329217935 0.4801897838414345 0.1289306499779134
0.4025107806859833 0.9697222686903227 0.03474080054908104 0.1285421928302312
0.06311522043942674 0.7983591509894929 0.8504790078249432 0.1282715250942092
0.2087238355963553 0.7456561073186653 0.7775944547964909 0.1278148606941193
0.4840907037416468 0.5359627924527511 0.7187085806566836 0.1268246159802275
0.5850248088383143 0.1650674540986951 0.9879742439076264 0.1267281850371685
0.7627696300186969 0.6794524082971928 0.6549372521914966 0.1250701067782678
0.111719809493027 0.1107705006125002 0.7316322168206415 0.1250119430914524
0.4224282865461993 0.05464877296533428 0.5112188272664659 0.1247087926844329
0.1914484322740991 0.6739178031812496 0.6707663020722022 0.1223243357924829
0.8848212747901576 0.7236991216018087 0.08546013309823634 0.1208960517716564
0.4100296331148632 0.6991652975529089 0.2321212257159549 0.1197972348423758
0.9036817075920225 0.9281385930379387 0.7393548478165219 0.1192490341482813
0.8596203773909166 0.4491032531254961 0.657353113697286 0.1180649104783381
0.9606829638741819 0.6288310446109503 0.7122395686142288 0.1171296511077198
0.3907426625005456 0.5307751448463024 0.1291261124428116 0.1171201796439652
0.2923916441309271 0.5441812966451655 0.311154642722797 0.1171005374808767
0.4143712164715895 0.8205432686655555 0.4594478580731051 0.1168175377719123
0.2393612079497459 0.1367432775516794 0.2007672061551173 0.1164541259713398
0.7504234394667498 0.2507006066100974 0.6384583626241905 0.1159670130401193
0.900498731867034 0.4789241952913481 0.535067034160579 0.1158987422208408
0.01255469418412128 0.5894385596160423 0.9463745146181576 0.1155784923255663
0.6699914720432857 0.2923728460183849 0.5034545120587688 0.1147458934513491
0.8429739865852643 0.6005585685344109 0.4674647415139611 0.1136479664582602
0.4744902491772051 0.116275814140039 0.0270381082437869 0.1125513108025879
0.9812957541616314 0.08090432680793651 0.408823943031642 0.1124482053380911
0.2420806090178607 0.3253662249963178 0.4906799818062082 0.1120625451327257
0.5512289407777744 0.2741848848218816 0.1096005093360591 0.1116817795764147
0.6624934560954083 0.5428749444741888 0.1817307230227005 0.1115393897857409
0.2200804794748562 0.3757542876375998 0.1490365557423238 0.111245710842476
0.7593729029886499 0.7789496386472036 0.1445005924322055 0.1109157987828343
0.5175751101689378 0.3058385496283928 0.3077712973590007 0.1102142747962821
0.06002078431579591 0.4210447175005167 0.9362376278260147 0.109738286067458
0.8237985060710862 0.02598855420112265 0.472009372743302 0.1095641128413658
0.6887065477898083 0.61851159139237 0.7304405752223039 0.1093300596229456
0.09502733482991765 0.9028680608172192 0.2314941699294721 0.1090575484476693
0.8268264754786933 0.01325989467577418 0.9475391778613326 0.108767937784138
0.8616149439434503 0.3397501504033574 0.05351011136254287 0.1086631160141285
0.8448609021973368 0.5054794185466059 0.1311633991411959 0.108643092449815
0.007537744094611855 0.8288270483858137 0.2437575815406652 0.1085547344993522
0.7055047480635119 0.09263087777529308 0.5731457114313273 0.1083212533827695
0.2445468200519999 0.206017578638003 0.5989760157679896 0.1082194828225602
0.1962077385702045 0.767793491221237 0.3608318471324116 0.1069965833614066
0.6407645903835468 0.1869373597426315 0.3047467119391524 0.1069003431189601
0.02000435663488723 0.2551654329258887 0.4646346757482213 0.1068835614650592
0.7250874506069402 0.753178997881594 0.9647185654020421 0.1067685689957159
0.1229835566806852 0.1237519823915487 0.977662924479361 0.1067306831406973
0.4111079083951357 0.2546496955742826 0.1650261842377251 0.106289020522125
0.1755087689857874 0.8794044907181706 0.8726070134447207 0.1059367329239488
0.2849094619131671 0.4444008916130895 0.5013831239812263 0.1058879771340171
0.006315598893840547 0.7459574262953921 0.6704087910713519 0.105135472517054
0.7353640912594072 0.3240304429164606 0.3895245146199012 0.1051239033465618
0.4672515254756475 0.7369537807882806 0.5843041393865793 0.1050273452697611
0.7348144638920894 0.3611782354816568 0.6913201519823818 0.1049653675706954
0.748573582723681 0.09412299255700408 0.3566337466760149 0.1049147047746387
0.279242404021374 0.07125699166260087 0.9452088993891999 0.1048695722963447
0.04784284468698018 0.7760956427092283 0.9640482376005833 0.1047207622517164
0.08600560044231045 0.3702345422309763 0.137105705047956 0.1044725336210996
0.5048311990152516 0.2263265485123276 0.6522538569370879 0.1041555256362377
0.7609685397637963 0.7182789778175304 0.7821985474665344 0.1041303531553864
0.5576324137098823 0.6727378062130982 0.3440592321819296 0.104076448448917
0.553854565230652 0.4176635268684746 0.8664583032987683 0.1040450464147238
0.5614101583236014 0.01835446091988226 0.5741790970248529 0.103897952675608
0.978800865015525 0.2472036426381038 0.2754254182475528 0.1037644622468512
0.572085920777294 0.1008470095447043 0.6738654908514842 0.1036305268499987
0.7839966889534898 0.2122000790446868 0.9349318962842763 0.1035617474957535
0.9742017701134801 0.5930248492937275 0.2227735236304684 0.1035244973094432
0.1611023337052893 0.409277960984618 0.5699916474846911 0.103502058204038
0.9805700879323553 0.1488602074573654 0.2270065965954548 0.1033570621716598
0.6535874524989186 0.5397516148542425 0.06007342659712594 0.1033269950417541
0.2905406445100538 0.9198476084838161 0.4696582805694131 0.1032053916178438
0.4432110039152858 0.6561418216125011 0.653565715065609 0.1031232632207229
0.4373508898144235 0.3314734854449213 0.9894733748795028 0.1028828533152191
0.8151942084478037 0.3137479984715635 0.5765064096718764 0.1028543117902135
0.5341931724960376 0.6001452969730794 0.2377917917024951 0.1025563102997317
0.9883970819536058 0.3964047909643387 0.3510230361849461 0.1024341347739839
0.827609412580531 0.2379159638072178 0.03433826495183327 0.1023170445979029
