3
1000
1000
4.308869e-02
10 01
T T
2.154435e-02 2.154435e-02 1.000000 0.025712 0.878561
4.387066e-02 1.072322e-02 1.072322e-02 1.000000 0.689708 0.280764
8.232607e-01 1.069386e-02 1.069386e-02 1.000000 0.141591 0.460249
9.821721e-01 1.061335e-02 1.061335e-02 1.000000 0.426623 0.073807
1.984889e-01 1.057191e-02 1.057191e-02 1.000000 0.705417 0.158567
9.104440e-01 1.049702e-02 1.049702e-02 1.000000 0.985088 0.620179
4.180255e-01 1.048288e-02 1.048288e-02 1.000000 0.732817 0.344927
8.967356e-01 1.047059e-02 1.047059e-02 1.000000 0.118182 0.807926
2.653221e-01 1.043531e-02 1.043531e-02 1.000000 0.052220 0.791171
5.346816e-01 1.028207e-02 1.028207e-02 1.000000 0.964380 0.190322
1.063002e-02 1.027919e-02 1.027919e-02 1.000000 0.561741 0.534484
6.795331e-01 1.025514e-02 1.025514e-02 1.000000 0.823375 0.723212
9.935590e-01 1.024172e-02 1.024172e-02 1.000000 0.697090 0.947517
9.841156e-02 1.024099e-02 1.024099e-02 1.000000 0.985002 0.633303
2.752699e-01 1.023974e-02 1.023974e-02 1.000000 0.402166 0.467704
3.550243e-02 1.022714e-02 1.022714e-02 1.000000 0.630329 0.071322
1.044392e-01 1.021928e-02 1.021928e-02 1.000000 0.621410 0.280000
8.607481e-01 1.017905e-02 1.017905e-02 1.000000 0.570420 0.193879
1.404530e-01 1.012400e-02 1.012400e-02 1.000000 0.871227 0.621314
7.681692e-01 1.011770e-02 1.011770e-02 1.000000 0.997001 0.098616
8.996522e-01 1.005108e-02 1.005108e-02 1.000000 0.741090 0.529306
1.915196e-01 1.003967e-02 1.003967e-02 1.000000 0.136231 0.198206
2.611165e-01 1.003349e-02 1.003349e-02 1.000000 0.129048 0.906651
7.504321e-01 1.002661e-02 1.002661e-02 1.000000 0.035142 0.336497
3.654136e-01 1.002026e-02 1.002026e-02 1.000000 0.859213 0.214762
4.977018e-01 1.001256e-02 1.001256e-02 1.000000 0.770643 0.594920
3.096999e-01 9.959841e-03 9.959841e-03 1.000000 0.752948 0.231349
6.655081e-02 9.911252e-03 9.911252e-03 1.000000 0.667140 0.126920
2.485722e-01 9.894488e-03 9.894488e-03 1.000000 0.959364 0.874097
2.036707e-01 9.885430e-03 9.885430e-03 1.000000 0.760525 0.098786
3.054086e-01 9.879965e-03 9.879965e-03 1.000000 0.802041 0.244554
7.182935e-02 9.844752e-03 9.844752e-03 1.000000 0.010755 0.408595
8.272342e-01 9.837458e-03 9.837458e-03 1.000000 0.981477 0.659937
8.880116e-01 9.823038e-03 9.823038e-03 1.000000 0.566366 0.287650
8.427827e-01 9.807983e-03 9.807983e-03 1.000000 0.551038 0.917259
4.069375e-01 9.806611e-03 9.806611e-03 1.000000 0.188634 0.688807
1.804414e-01 9.788121e-03 9.788121e-03 1.000000 0.772103 0.713923
7.396579e-02 9.730090e-03 9.730090e-03 1.000000 0.323130 0.576022
1.574276e-02 9.723211e-03 9.723211e-03 1.000000 0.698013 0.115532
1.510385e-01 9.651602e-03 9.651602e-03 1.000000 0.062301 0.332817
5.885073e-01 9.636247e-03 9.636247e-03 1.000000 0.747265 0.744401
8.682848e-02 9.622328e-03 9.622328e-03 1.000000 0.916662 0.503817
4.988709e-01 9.594338e-03 9.594338e-03 1.000000 0.915265 0.066194
6.436105e-01 9.590895e-03 9.590895e-03 1.000000 0.877509 0.534053
2.272861e-01 9.576192e-03 9.576192e-03 1.000000 0.962714 0.550672
1.716845e-01 9.542044e-03 9.542044e-03 1.000000 0.348616 0.573874
1.436596e-01 9.537093e-03 9.537093e-03 1.000000 0.635664 0.097479
4.059615e-01 9.459075e-03 9.459075e-03 1.000000 0.592717 0.652250
4.803297e-01 9.414734e-03 9.414734e-03 1.000000 0.002241 0.410381
7.139175e-01 9.401504e-03 9.401504e-03 1.000000 0.554513 0.766977
5.261101e-01 9.383832e-03 9.383832e-03 1.000000 0.704740 0.689305
8.375426e-01 9.370786e-03 9.370786e-03 1.000000 0.873943 0.673095
3.561573e-01 9.290551e-03 9.290551e-03 1.000000 0.030715 0.570579
2.803297e-01 9.277118e-03 9.277118e-03 1.000000 0.821875 0.534653
1.406560e-01 9.262932e-03 9.262932e-03 1.000000 0.385718 0.850450
7.489046e-01 9.255948e-03 9.255948e-03 1.000000 0.613290 0.019039
3.681503e-01 9.224973e-03 9.224973e-03 1.000000 0.243562 0.183048
3.957559e-01 9.206272e-03 9.206272e-03 1.000000 0.495611 0.716594
5.214227e-01 9.189454e-03 9.189454e-03 1.000000 0.669536 0.968697
7.762335e-01 9.185226e-03 9.185226e-03 1.000000 0.208775 0.702338
4.651095e-01 9.175354e-03 9.175354e-03 1.000000 0.835597 0.773928
1.632057e-01 9.161496e-03 9.161496e-03 1.000000 0.819619 0.483685
4.082951e-01 9.143506e-03 9.143506e-03 1.000000 0.337225 0.559497
9.302705e-01 9.132098e-03 9.132098e-03 1.000000 0.995083 0.815703
8.265704e-01 9.127838e-03 9.127838e-03 1.000000 0.640936 0.932866
9.836656e-01 9.095228e-03 9.095228e-03 1.000000 0.322282 0.105364
7.659699e-01 9.080241e-03 9.080241e-03 1.000000 0.330539 0.643346
