0.0002,340000,100000,1,2.08042,0.01,3,75.2731
0.0002,340000,100000,1,2.5021,0.01,3,75.2731
0.0002,340000,100000,1,2.08042,0.01,3,114.7
0.0002,340000,100000,1,2.08042,0.01,3,75.2176
0.0002,340000,100000,1,2.08042,0.01,3,75.2731
0.0002,340000,100000,1,2.5021,0.01,3,114.705
0.0002,340000,100000,1,1.24209,0.01,3,361.064
0.0002,340000,100000,1,1.37484,0.01,3,361.064
0.0002,340000,100000,1,1.24209,0.01,3,551.92
0.0002,340000,100000,1,1.24209,0.01,3,361.432
0.0002,340000,100000,1,1.24209,0.01,3,327.594
0.0002,340000,100000,1,1.37484,0.01,3,501.091
0.0002,340000,100000,1,1.81185,0.01,3,189.885
0.0002,340000,100000,1,1.68386,0.01,3,189.885
0.0002,340000,100000,1,1.81185,0.01,3,382.396
0.0002,340000,100000,1,1.81185,0.01,3,189.9
0.0002,340000,100000,1,1.81185,0.01,3,189.885
0.0002,340000,100000,1,1.68386,0.01,3,382.456
0.0002,340000,100000,1,2.90128,0.01,3,449.349
0.0002,340000,100000,1,2.43917,0.01,3,449.349
0.0002,340000,100000,1,2.90128,0.01,3,251.549
0.0002,340000,100000,1,2.90128,0.01,3,449.166
0.0002,340000,100000,1,2.90128,0.01,3,449.349
0.0002,340000,100000,1,2.43917,0.01,3,251.371
0.0002,340000,100000,1,2.73923,0.01,3,217.393
0.0002,340000,100000,1,2.19037,0.01,3,217.393
0.0002,340000,100000,1,2.73923,0.01,3,80.6325
0.0002,340000,100000,1,2.73923,0.01,3,218.327
0.0002,340000,100000,1,2.73923,0.01,3,214.271
0.0002,340000,100000,1,2.19037,0.01,3,79.5399
0.0002,340000,100000,1,1.57937,0.01,3,482.8
0.0002,340000,100000,1,1.93664,0.01,3,482.8
0.0002,340000,100000,1,1.57937,0.01,3,459.123
0.0002,340000,100000,1,1.57937,0.01,3,482.471
0.0002,340000,100000,1,1.57937,0.01,3,482.8
0.0002,340000,100000,1,1.93664,0.01,3,458.795
0.0002,340000,100000,1,1.40035,0.01,3,213.576
0.0002,340000,100000,1,1.12163,0.01,3,213.576
0.0002,340000,100000,1,1.40035,0.01,3,545.567
0.0002,340000,100000,1,1.40035,0.01,3,213.525
0.0002,340000,100000,1,1.40035,0.01,3,108.533
0.0002,340000,100000,1,1.12163,0.01,3,277.562
0.0002,340000,100000,1,2.30887,0.01,3,338.772
0.0002,340000,100000,1,2.75145,0.01,3,338.772
0.0002,340000,100000,1,2.30887,0.01,3,162.64
0.0002,340000,100000,1,2.30887,0.01,3,337.309
0.0002,340000,100000,1,2.30887,0.01,3,611.434
0.0002,340000,100000,1,2.75145,0.01,3,291.936
